Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-01-03,62.79,62.84,62.125,62.58,20694101.0,0.0,1.0,60.37743966240006,60.425518528192704,59.73799074735792,60.17550842607096,20694101.0
2017-01-04,62.48,62.75,62.12,62.3,21339969.0,0.0,1.0,60.079350694485676,60.33897656976595,59.733182860778655,59.90626677763216,21339969.0
2017-01-05,62.19,62.66,62.03,62.3,24875968.0,0.0,1.0,59.80049327288835,60.25243461133919,59.6466409023519,59.90626677763216,24875968.0
2017-01-06,62.3,63.15,62.04,62.84,19922919.0,0.0,1.0,59.90626677763216,60.723607496107086,59.65625667551043,60.425518528192704,19922919.0
2017-01-09,62.76,63.08,62.54,62.64,20382730.0,0.0,1.0,60.348592342924476,60.65629708399739,60.13704533343685,60.23320306502214,20382730.0
2017-01-10,62.73,63.07,62.28,62.62,18593004.0,0.0,1.0,60.31974502344889,60.64668131083886,59.88703523131511,60.21397151870507,18593004.0
2017-01-11,62.61,63.23,62.43,63.19,21517335.0,0.0,1.0,60.20435574554655,60.800533681375306,60.031271828693036,60.762070588741196,21517335.0
2017-01-12,63.06,63.4,61.95,62.61,20968223.0,0.0,1.0,60.63706553768033,60.9640018250703,59.56971471708368,60.20435574554655,20968223.0
2017-01-13,62.62,62.865,62.35,62.7,19422310.0,0.0,1.0,60.21397151870507,60.44955796108903,59.95434564342481,60.29089770397331,19422310.0
2017-01-17,62.68,62.7,62.03,62.53,20663983.0,0.0,1.0,60.27166615765625,60.29089770397331,59.6466409023519,60.12742956027832,20663983.0
2017-01-18,62.67,62.7,62.12,62.5,19670102.0,0.0,1.0,60.26205038449772,60.29089770397331,59.733182860778655,60.098582240802735,19670102.0
2017-01-19,62.24,62.98,62.195,62.3,18451655.0,0.0,1.0,59.848572138681,60.5601393524121,59.80530115946762,59.90626677763216,18451655.0
2017-01-20,62.67,62.82,62.37,62.74,30213462.0,0.0,1.0,60.26205038449772,60.406286981875645,59.97357718974187,60.32936079660742,30213462.0
2017-01-23,62.7,63.1159,62.57,62.96,23097581.0,0.0,1.0,60.29089770397331,60.690817709636505,60.16589265291243,60.54090780609504,23097581.0
2017-01-24,63.2,63.735,62.94,63.52,24672940.0,0.0,1.0,60.77168636189973,61.286130225880996,60.52167625977798,61.07939110297264,24672940.0
2017-01-25,63.95,64.1,63.45,63.68,24654933.0,0.0,1.0,61.49286934878936,61.63710594616728,61.01208069086294,61.23324347350909,24654933.0
2017-01-26,64.12,64.535,63.55,64.27,43554645.0,0.0,1.0,61.65633749248435,62.05539207856327,61.10823842244822,61.800574089862266,43554645.0
2017-01-27,65.39,65.91,64.89,65.78,44817972.0,0.0,1.0,62.877540683617454,63.37756088786093,62.396752025691036,63.25255583680006,44817972.0
2017-01-30,65.69,65.79,64.8,65.13,31651445.0,0.0,1.0,63.166013878373306,63.2621716099586,62.31021006726427,62.62753058149571,31651445.0
2017-01-31,64.86,65.15,64.26,64.65,25270549.0,0.0,1.0,62.36790470621545,62.64676212781278,61.790958316703744,62.16597346988635,25270549.0
2017-02-01,64.355,64.62,63.47,63.58,39671528.0,0.0,1.0,61.882308161709766,62.13712615041077,61.031312237179996,61.137085741923805,39671528.0
